fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220530 205007	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	21	TRUE	0.299853395415321	0.999832787717786	3827	416	17.3569243614221	58.8473372683246	0.0247844139830656	12069000	91
20220530 205036	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	186	TRUE	0.0485129874437012	0.312219060742085	4590	504	0.0248069820960712	97.5531722356774	0.0295029623271209	11632000	92
20220530 205104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	132	TRUE	0.13448374605016	0.415529865334703	1115	559	0.358256482012556	94.2149794325681	0.0134146263559167	13099000	93
20220530 205221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	696	TRUE	0.0231305834095538	0.308812544853375	4314	1018	0.977123441507172	89.2274408218322	0.0141376296440491	13179000	94
20220530 205240	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	111	TRUE	0.0991593014723467	0.487924670600562	7995	551	10.2121878383988	8.6125378159641	0.0150829348397831	13255000	95
20220530 205455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	876	TRUE	0.0100083310819879	0.5049977314958	1582	20	0.0920341681946953	12.5581104563071	0.0191430671683498	13337000	96
20220530 205503	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	5	TRUE	0.288818693277078	0.423723475986208	20	19	53.3803420906002	65.7311335050982	0.0140282315188533	11626000	97
20220530 205614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	510	TRUE	0.0337642424247392	0.451349349381798	1371	72	0.00553761618702858	70.9351966724426	0.0132332784693839	13421000	98
20220530 205733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1021	TRUE	0.0100363910977637	0.800656826445044	7473	1023	9.28128166296853	70.9126611591518	0.0146538878488084	12635000	99
20220530 205741	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	52	TRUE	0.294386295191131	0.904402884670887	841	17	9.78658011715082	59.3544308147261	0.0142053316959853	12724000	100
20220530 205857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	328	TRUE	0.010270816687299	0.560529303813249	823	18	0.215067138524012	47.471835544668	0.0153234927326386	13300000	101
20220530 205932	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	171	TRUE	0.0414977345035718	0.49559720118692	2553	26	3.64874976509253	19.2303616860264	0.0136820794011127	13367000	102
20220530 205944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	37	TRUE	0.292961627920339	0.418544223726448	2718	579	0.0132110882205218	25.8156382558169	0.0183447125352929	13146000	103
20220530 210042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	664	TRUE	0.0135987540744526	0.802103417518439	343	17	17.1433565312004	89.74771333026	0.0120316073522324	13032000	104
20220530 210113	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	125	TRUE	0.054098958896016	0.411320500093302	2946	603	2.52341587378275	82.4482703955817	0.0184446667419148	13329000	105
20220530 210129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	129	TRUE	0.0778348140159943	0.77196748154326	5322	642	0.0133424418733607	74.9341964040844	0.0151897374352035	13205000	106
20220530 210146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	151	TRUE	0.15958698751127	0.226001183499935	7996	80	13.7682843504486	88.5313225623865	0.0204248336555938	12925000	107
